CustomerID,Age,Gender,Annual Income (k$),Spending Score (1-100)
1,56,Male,89.3,46
2,69,Female,69.2,77
3,46,Male,57.3,28
4,32,Male,71.2,40
5,60,Male,20.7,46
6,25,Female,31.8,1
7,38,Male,30.2,92
8,56,Male,63.6,27
9,36,Male,103.3,63
10,40,Female,115.8,48
11,28,Male,76.0,81
12,28,Male,72.5,60
13,41,Male,15.0,44
14,70,Male,46.4,28
15,53,Female,40.3,70
16,57,Male,44.5,3
17,41,Female,55.8,66
18,20,Female,48.2,23
19,39,Female,15.0,81
20,70,Male,78.7,54
21,19,Female,33.2,66
22,41,Male,66.0,52
23,61,Female,111.9,6
24,47,Female,37.0,28
25,55,Female,15.0,67
26,19,Female,52.8,54
27,38,Female,87.5,80
28,50,Female,109.0,60
29,29,Female,29.3,26
30,39,Female,72.4,30
31,61,Male,48.4,53
32,42,Male,57.4,1
33,66,Female,126.1,92
34,44,Female,22.4,61
35,59,Female,66.3,81
36,45,Male,71.7,10
37,33,Female,87.1,81
38,32,Male,62.4,100
39,64,Male,67.7,17
40,68,Male,50.2,69
41,61,Male,66.7,50
42,69,Male,51.4,11
43,20,Female,75.5,62
44,54,Female,50.8,71
45,68,Female,69.4,35
46,24,Female,59.3,79
47,38,Female,88.2,8
48,26,Male,58.7,13
49,56,Female,15.7,53
50,35,Female,91.5,51
51,21,Male,37.4,32
52,42,Female,43.7,70
53,31,Male,45.1,63
54,67,Female,94.4,71
55,26,Male,15.0,47
56,43,Female,138.4,65
57,70,Female,86.4,39
58,19,Male,65.6,100
59,37,Male,58.6,30
60,45,Male,67.1,100
61,64,Male,73.0,51
62,24,Male,76.1,16
63,61,Male,73.9,84
64,25,Male,62.2,53
65,64,Male,55.1,71
66,52,Female,56.2,81
67,31,Female,55.1,58
68,34,Male,88.3,35
69,53,Female,74.8,74
70,67,Female,15.0,50
71,57,Female,76.4,67
72,21,Female,64.9,1
73,19,Male,59.5,61
74,23,Female,50.3,34
75,59,Male,88.1,91
76,21,Female,83.7,66
77,46,Female,40.7,56
78,35,Female,70.2,62
