CustomerID,Age,Gender,Annual Income (k$),Spending Score (1-100),Cluster
1,56,Male,89.3,46,3
2,69,Female,69.2,77,0
3,46,Male,57.3,28,1
4,32,Male,71.2,40,4
5,60,Male,20.7,46,1
6,25,Female,31.8,1,1
7,38,Male,30.2,92,2
8,56,Male,63.6,27,4
9,36,Male,103.3,63,0
10,40,Female,115.8,48,3
11,28,Male,76.0,81,0
12,28,Male,72.5,60,4
13,41,Male,15.0,44,1
14,70,Male,46.4,28,1
15,53,Female,40.3,70,2
16,57,Male,44.5,3,1
17,41,Female,55.8,66,4
18,20,Female,48.2,23,1
19,39,Female,15.0,81,2
20,70,Male,78.7,54,4
21,19,Female,33.2,66,2
22,41,Male,66.0,52,4
23,61,Female,111.9,6,3
24,47,Female,37.0,28,1
25,55,Female,15.0,67,2
26,19,Female,52.8,54,4
27,38,Female,87.5,80,0
28,50,Female,109.0,60,0
29,29,Female,29.3,26,1
30,39,Female,72.4,30,3
31,61,Male,48.4,53,4
32,42,Male,57.4,1,1
33,66,Female,126.1,92,0
34,44,Female,22.4,61,2
35,59,Female,66.3,81,0
36,45,Male,71.7,10,3
37,33,Female,87.1,81,0
38,32,Male,62.4,100,0
39,64,Male,67.7,17,3
40,68,Male,50.2,69,2
41,61,Male,66.7,50,4
42,69,Male,51.4,11,1
43,20,Female,75.5,62,0
44,54,Female,50.8,71,2
45,68,Female,69.4,35,4
46,24,Female,59.3,79,0
47,38,Female,88.2,8,3
48,26,Male,58.7,13,1
49,56,Female,15.7,53,2
50,35,Female,91.5,51,3
51,21,Male,37.4,32,1
52,42,Female,43.7,70,2
53,31,Male,45.1,63,2
54,67,Female,94.4,71,0
55,26,Male,15.0,47,2
56,43,Female,138.4,65,0
57,70,Female,86.4,39,3
58,19,Male,65.6,100,0
59,37,Male,58.6,30,4
60,45,Male,67.1,100,0
61,64,Male,73.0,51,4
62,24,Male,76.1,16,3
63,61,Male,73.9,84,0
64,25,Male,62.2,53,4
65,64,Male,55.1,71,2
66,52,Female,56.2,81,2
67,31,Female,55.1,58,4
68,34,Male,88.3,35,3
69,53,Female,74.8,74,0
70,67,Female,15.0,50,2
71,57,Female,76.4,67,0
72,21,Female,64.9,1,3
73,19,Male,59.5,61,4
74,23,Female,50.3,34,1
75,59,Male,88.1,91,0
76,21,Female,83.7,66,0
77,46,Female,40.7,56,2
78,35,Female,70.2,62,4
79,43,Male,35.7,25,1
80,61,Female,25.5,91,2
81,51,Male,44.3,100,2
82,27,Female,81.6,60,0
83,53,Male,83.8,90,0
84,31,Female,72.8,36,4
85,48,Male,78.1,30,3
86,65,Male,72.9,51,4
87,32,Female,44.0,61,2
88,25,Male,70.8,40,4
89,31,Female,80.0,63,0
90,40,Female,78.9,58,0
91,57,Female,89.7,25,3
92,38,Female,77.7,63,0
93,33,Female,68.8,72,0
94,62,Female,86.8,54,0
95,35,Female,59.3,79,0
96,64,Female,38.0,20,1
97,70,Female,55.9,62,4
98,41,Female,41.4,21,1
99,43,Female,43.1,22,1
100,42,Male,56.4,34,4
101,62,Male,40.2,26,1
102,58,Female,52.3,36,4
103,46,Female,15.0,45,1
104,32,Female,65.3,71,0
105,62,Female,60.0,42,4
106,18,Female,39.6,10,1
107,42,Female,76.5,79,0
108,24,Female,83.4,29,3
109,26,Female,19.8,49,2
110,41,Male,40.9,61,2
111,18,Female,40.8,55,2
112,61,Male,36.5,77,2
113,25,Female,80.7,62,0
114,41,Female,55.2,28,1
115,28,Male,53.4,100,2
116,68,Female,15.0,55,2
117,34,Male,75.9,46,4
118,25,Female,29.0,74,2
119,52,Female,61.5,56,4
120,52,Male,66.9,60,4
121,50,Female,94.0,100,0
122,22,Male,27.3,43,1
123,59,Female,15.0,42,1
124,56,Male,64.6,53,4
125,58,Male,105.0,77,0
126,45,Female,91.0,12,3
127,24,Female,65.2,1,3
128,26,Male,47.7,35,1
129,25,Female,80.2,9,3
130,29,Female,35.7,39,1
131,51,Female,71.9,63,0
132,50,Male,72.6,28,3
133,65,Male,86.5,14,3
134,40,Male,129.0,52,3
135,41,Male,69.8,72,0
136,54,Male,47.3,8,1
137,52,Male,59.4,71,0
138,61,Male,15.8,70,2
139,57,Male,42.6,74,2
140,39,Male,49.8,80,2
141,44,Female,46.9,100,2
142,52,Male,63.8,41,4
143,18,Female,39.4,53,2
144,52,Female,88.0,40,3
145,54,Female,60.0,50,4
146,64,Male,59.8,88,0
147,31,Male,51.8,16,1
148,20,Male,63.9,28,4
149,18,Male,80.6,84,0
150,22,Female,38.3,76,2
151,43,Male,43.5,41,1
152,31,Male,52.4,71,2
153,56,Male,26.4,59,2
154,44,Male,39.5,88,2
155,26,Male,48.1,52,4
156,32,Female,81.9,76,0
157,32,Male,66.6,100,0
158,43,Female,64.8,65,4
159,59,Male,81.3,51,4
160,30,Female,56.6,68,2
161,68,Male,69.8,41,4
162,49,Male,57.4,100,0
163,56,Female,66.6,55,4
164,66,Female,45.4,43,4
165,69,Female,15.0,29,1
166,49,Male,56.6,77,2
167,21,Female,95.6,72,0
168,47,Male,83.2,38,3
169,54,Male,84.1,64,0
170,40,Female,90.9,12,3
171,56,Female,62.2,55,4
172,62,Male,64.9,61,4
173,32,Male,44.6,93,2
174,60,Female,52.1,31,1
175,46,Female,75.4,18,3
176,53,Female,90.1,28,3
177,30,Male,56.5,17,1
178,49,Male,48.7,83,2
179,24,Male,60.0,89,0
180,68,Male,75.0,58,4
181,39,Male,23.9,81,2
182,45,Male,15.0,53,2
183,19,Female,46.2,48,4
184,59,Male,29.5,42,1
185,62,Male,47.3,42,4
186,70,Male,56.3,11,1
187,23,Female,48.7,57,4
188,45,Male,96.3,49,3
189,45,Male,68.2,69,0
190,61,Female,67.5,52,4
191,61,Male,75.6,46,4
192,37,Male,31.5,28,1
193,47,Male,86.0,52,0
194,28,Male,58.1,68,4
195,45,Male,76.8,21,3
196,42,Female,33.2,52,2
197,56,Female,21.2,56,2
198,50,Female,80.4,32,3
199,18,Male,69.4,35,4
200,44,Male,37.4,56,2
201,69,Male,38.3,22,1
202,30,Female,88.1,59,0
203,58,Male,30.3,28,1
204,20,Male,101.1,77,0
205,56,Female,37.5,100,2
206,23,Male,76.0,28,3
207,25,Female,51.8,63,2
208,44,Female,75.1,32,3
209,26,Female,46.4,76,2
210,54,Male,55.9,18,1
211,50,Male,61.0,62,4
212,68,Male,34.9,28,1
213,59,Male,78.5,45,4
214,61,Male,47.2,24,1
215,41,Male,54.3,71,2
216,32,Male,35.1,29,1
217,49,Female,15.0,64,2
218,49,Male,55.2,41,4
219,41,Female,120.3,47,3
220,58,Male,79.6,54,4
221,69,Male,59.5,31,4
222,66,Male,53.4,55,4
223,66,Female,60.6,88,0
224,69,Female,73.7,31,3
225,29,Female,30.5,79,2
226,56,Female,87.9,87,0
227,19,Male,77.9,30,3
228,20,Female,78.0,14,3
229,66,Male,71.0,58,4
230,54,Male,60.5,36,4
231,66,Female,76.8,97,0
232,34,Female,74.8,51,4
233,66,Female,51.1,30,1
234,19,Female,45.7,21,1
235,19,Female,62.5,77,0
236,45,Female,98.7,36,3
237,40,Female,29.0,51,2
238,54,Female,23.3,74,2
239,49,Male,64.1,38,4
240,50,Female,61.3,49,4
241,18,Female,64.3,50,4
242,36,Male,66.1,67,0
243,19,Female,54.4,65,4
244,70,Male,97.2,44,3
245,61,Male,20.0,52,2
246,43,Female,39.3,41,1
247,49,Male,57.4,13,1
248,23,Male,18.9,56,2
249,49,Male,55.6,97,2
250,21,Male,101.5,28,3
251,28,Female,60.5,31,4
252,34,Male,65.8,28,4
253,55,Female,28.5,68,2
254,41,Male,44.6,61,2
255,22,Male,50.6,46,4
256,69,Male,52.1,27,1
257,51,Male,92.0,52,0
258,23,Female,73.9,11,3
259,39,Female,32.2,54,2
260,28,Male,66.2,72,0
261,65,Male,72.5,19,3
262,33,Female,88.5,12,3
263,50,Male,99.5,89,0
264,26,Male,34.6,35,1
265,23,Male,39.7,78,2
266,33,Female,28.6,46,1
267,46,Female,54.1,46,4
268,20,Female,71.7,61,4
269,37,Male,84.7,28,3
270,53,Male,58.1,53,4
271,36,Female,52.0,40,4
272,43,Female,63.8,17,3
273,20,Female,39.1,58,2
274,36,Female,112.2,43,3
275,37,Male,19.8,46,1
276,49,Female,64.6,20,3
277,24,Male,110.6,90,0
278,69,Female,60.2,72,0
279,58,Male,55.2,74,2
280,50,Female,51.1,42,4
281,57,Female,55.5,7,1
282,56,Female,94.3,99,0
283,35,Female,15.0,48,2
284,57,Male,98.3,31,3
285,18,Female,24.4,60,2
286,28,Male,53.3,79,2
287,45,Male,49.3,49,4
288,42,Male,74.7,82,0
289,67,Male,20.0,77,2
290,40,Female,71.6,23,3
291,48,Male,110.6,33,3
292,47,Male,25.9,74,2
293,59,Male,64.7,1,3
294,52,Female,43.5,46,4
295,24,Female,70.6,14,3
296,33,Female,60.5,38,4
297,43,Female,44.0,43,4
298,65,Male,72.2,41,4
299,69,Male,105.1,36,3
300,66,Female,55.2,23,1
301,19,Male,78.0,100,0
302,18,Male,27.7,97,2
303,65,Male,36.1,21,1
304,29,Female,71.8,90,0
305,22,Female,97.1,40,3
306,54,Male,68.9,53,4
307,49,Female,52.2,48,4
308,26,Female,60.0,34,4
309,58,Female,28.7,75,2
310,52,Female,75.1,53,4
311,36,Female,82.1,38,3
312,65,Male,48.7,17,1
313,33,Female,48.2,28,1
314,20,Male,66.6,9,3
315,37,Male,49.1,50,4
316,41,Female,58.3,20,1
317,50,Male,112.5,43,3
318,41,Male,53.8,84,2
319,69,Male,51.0,80,2
320,28,Female,43.8,49,4
321,66,Female,78.6,48,4
322,25,Male,55.5,97,2
323,53,Female,43.8,63,2
324,55,Female,93.0,42,3
325,57,Female,95.5,14,3
326,37,Female,45.0,60,2
327,52,Male,15.0,71,2
328,65,Male,85.2,34,3
329,42,Female,42.9,57,2
330,52,Female,79.8,41,3
331,42,Male,15.0,45,1
332,46,Male,82.3,1,3
333,35,Female,29.7,44,1
334,63,Male,78.3,74,0
335,35,Female,60.4,34,4
336,19,Female,36.2,51,2
337,52,Male,49.8,31,1
338,33,Male,77.2,59,0
339,58,Female,62.6,45,4
340,53,Female,74.6,27,3
341,50,Male,109.4,83,0
342,21,Female,20.9,73,2
343,50,Male,100.4,35,3
344,31,Female,62.6,62,4
345,38,Male,37.5,63,2
346,65,Male,26.7,66,2
347,37,Male,55.3,8,1
348,25,Female,83.0,75,0
349,24,Female,56.8,36,4
350,20,Male,97.8,41,3
351,34,Female,23.7,100,2
352,50,Male,59.7,58,4
353,65,Male,28.7,40,1
354,29,Female,69.1,1,3
355,68,Female,82.2,85,0
356,39,Male,49.5,16,1
357,39,Female,15.0,25,1
358,63,Female,65.0,42,4
359,47,Male,70.9,85,0
360,55,Male,70.1,69,0
361,55,Female,90.9,46,3
362,62,Male,33.2,58,2
363,68,Male,77.0,35,3
364,25,Female,89.8,53,0
365,44,Male,15.5,52,2
366,44,Male,68.0,74,0
367,51,Female,47.4,74,2
368,38,Female,58.0,62,4
369,47,Male,68.7,41,4
370,50,Male,47.8,69,2
371,45,Female,43.1,48,4
372,64,Female,60.9,23,1
373,50,Female,32.8,40,1
374,22,Female,32.9,52,2
375,65,Male,77.0,73,0
376,36,Female,31.3,45,1
377,21,Female,76.7,20,3
378,52,Male,71.6,51,4
379,66,Female,16.9,53,2
380,34,Male,43.1,55,2
381,61,Female,89.9,73,0
382,45,Female,35.5,75,2
383,47,Female,48.4,35,1
384,46,Male,71.6,35,4
385,63,Male,79.6,24,3
386,70,Female,53.7,67,2
387,23,Male,45.1,86,2
388,52,Male,95.6,42,3
389,58,Male,103.5,44,3
390,54,Male,84.5,87,0
391,41,Male,62.1,63,4
392,46,Male,39.8,61,2
393,66,Female,39.2,20,1
394,63,Female,73.1,67,0
395,70,Male,70.5,27,3
396,48,Female,95.0,22,3
397,52,Female,76.3,41,4
398,50,Female,22.4,35,1
399,69,Female,86.3,44,3
400,38,Male,35.0,14,1
401,49,Female,50.4,74,2
402,40,Female,66.3,78,0
403,50,Male,109.9,1,3
404,20,Male,137.7,74,0
405,35,Female,75.2,30,3
406,42,Female,55.4,71,2
407,59,Female,73.4,48,4
408,48,Female,82.2,51,4
409,20,Female,52.0,45,4
410,57,Female,104.9,80,0
411,63,Male,65.8,19,3
412,41,Female,72.4,65,0
413,67,Female,76.6,78,0
414,49,Male,70.5,68,0
415,64,Male,81.0,100,0
416,39,Male,44.6,37,1
417,40,Male,46.0,74,2
418,19,Female,32.5,47,1
419,44,Female,71.0,81,0
420,59,Female,79.5,50,4
421,19,Female,71.4,40,4
422,43,Female,101.9,83,0
423,34,Female,59.9,38,4
424,57,Male,76.7,15,3
425,50,Female,32.7,37,1
426,26,Male,50.3,65,2
427,60,Male,77.4,85,0
428,65,Female,81.2,53,4
429,56,Male,52.7,83,2
430,46,Female,58.2,16,1
431,59,Male,22.1,39,1
432,43,Female,51.1,43,4
433,52,Male,82.3,47,4
434,67,Female,74.4,52,4
435,42,Female,72.5,67,0
436,41,Female,61.2,39,4
437,30,Female,60.2,53,4
438,24,Female,43.5,49,4
439,53,Male,77.5,27,3
440,62,Male,70.5,47,4
441,37,Male,72.3,46,4
442,18,Female,46.8,46,4
443,25,Male,15.0,51,2
444,63,Female,87.4,52,0
445,33,Female,48.0,39,4
446,31,Male,38.4,82,2
447,29,Male,77.3,21,3
448,68,Female,50.2,32,1
449,40,Male,86.5,100,0
450,32,Female,75.4,24,3
451,45,Female,77.1,16,3
452,51,Female,25.9,68,2
453,19,Female,90.3,1,3
454,49,Female,66.5,44,4
455,40,Male,50.8,100,2
456,39,Male,63.6,11,3
457,68,Female,15.6,1,1
458,42,Female,70.2,13,3
459,39,Male,34.3,72,2
460,39,Male,26.2,78,2
461,66,Female,21.9,37,1
462,69,Male,87.8,67,0
463,59,Female,44.3,85,2
464,23,Male,98.3,95,0
465,32,Female,46.6,44,4
466,60,Male,17.3,1,1
467,54,Female,32.1,29,1
468,50,Male,90.9,39,3
469,25,Male,56.1,44,4
470,70,Female,46.3,45,4
471,61,Male,64.0,78,0
472,61,Female,72.5,82,0
473,22,Male,87.9,46,3
474,56,Female,96.2,77,0
475,21,Male,51.0,59,4
476,23,Female,26.8,52,2
477,62,Male,49.7,73,2
478,49,Female,66.5,52,4
479,69,Male,35.9,100,2
480,47,Female,36.1,14,1
481,64,Female,68.6,37,4
482,52,Female,58.8,47,4
483,57,Male,60.8,61,4
484,69,Female,41.0,82,2
485,33,Male,54.2,49,4
486,30,Female,36.9,14,1
487,67,Male,82.3,71,0
488,59,Female,85.9,69,0
489,47,Male,15.0,1,1
490,36,Male,36.8,50,2
491,34,Female,22.6,10,1
492,36,Male,43.7,33,1
493,45,Male,57.9,27,1
494,43,Female,23.8,70,2
495,54,Male,37.0,53,2
496,43,Male,34.9,18,1
497,70,Male,65.2,72,0
498,40,Female,61.7,14,1
499,26,Male,42.0,58,2
500,29,Female,64.4,30,4
501,70,Male,46.3,41,4
502,18,Male,53.2,63,4
503,18,Male,101.8,63,0
504,64,Female,93.5,83,0
505,51,Male,27.5,48,2
506,49,Male,80.7,58,0
507,65,Female,80.3,39,3
508,42,Male,31.3,55,2
509,57,Female,80.5,61,0
510,62,Female,98.4,48,3
511,70,Male,31.9,5,1
512,18,Female,37.1,58,2
513,33,Male,85.4,59,0
514,56,Female,66.8,33,4
515,22,Female,73.8,18,3
516,39,Male,68.5,87,0
517,46,Female,69.8,62,4
518,20,Female,26.8,44,1
519,29,Female,86.2,22,3
520,43,Female,89.2,29,3
521,33,Female,54.3,83,2
522,68,Male,58.9,53,4
523,54,Female,21.7,36,1
524,39,Male,72.9,63,0
525,46,Female,74.3,30,3
526,31,Male,58.4,88,0
527,45,Male,88.1,84,0
