Age,Annual_Income,Credit_Score,Loan_Amount,Loan_Term_Months,Employment_Years,Existing_Loans,Dependents,Savings,Property_Value,Self_Employed,Education,Marital_Status,Loan_Status
59,127841,641,322302,36,9,3,2,266545,57830,No,Postgraduate,Married,Rejected
49,96151,829,147632,72,0,4,0,21465,975975,No,Graduate,Married,Rejected
35,144908,687,86396,84,19,3,2,132991,942795,No,Graduate,Single,Approved
63,86968,303,254450,84,6,0,2,219743,94371,No,High School,Single,Rejected
28,43238,698,457676,60,27,2,4,154046,976914,Yes,Graduate,Single,Rejected
41,125959,721,55200,48,30,3,4,71300,25473,No,High School,Married,Approved
59,83830,710,187839,36,20,5,2,191686,294292,No,Graduate,Single,Rejected
39,93967,512,415112,48,25,4,2,166878,372316,No,High School,Married,Rejected
43,28330,347,289641,48,12,1,5,60811,721485,Yes,High School,Married,Rejected
31,64153,486,480318,12,20,1,0,195437,847250,No,Graduate,Married,Rejected
31,28611,801,348938,48,6,0,1,268408,1478,No,High School,Married,Rejected
44,33872,830,39869,84,5,3,4,128445,939864,No,Postgraduate,Married,Approved
56,69455,774,218151,12,21,2,3,174550,329201,No,Graduate,Single,Rejected
60,54930,341,494431,48,12,1,2,103423,27492,No,Graduate,Married,Rejected
44,92022,560,311561,72,7,2,3,122231,359908,No,Graduate,Single,Rejected
23,82714,347,272712,84,15,5,0,279896,151174,No,High School,Married,Rejected
42,144906,745,374377,60,25,0,3,4361,470422,No,Graduate,Married,Rejected
22,122406,520,310415,48,8,5,1,258158,473796,No,Graduate,Married,Rejected
44,108794,642,286196,24,12,4,1,166736,410772,No,Graduate,Married,Rejected
64,68716,537,133953,12,26,4,5,184862,449239,No,Graduate,Single,Rejected
50,128722,454,49013,60,1,0,0,278680,948025,No,Graduate,Married,Rejected
58,86704,355,237756,12,11,5,4,111837,177283,Yes,Postgraduate,Married,Rejected
22,20415,686,286643,60,11,2,2,36374,354030,Yes,Graduate,Married,Rejected
41,96441,614,226384,12,25,5,3,195640,949119,No,High School,Married,Rejected
53,131736,337,6307,84,14,2,0,147276,915274,No,Graduate,Single,Rejected
32,90779,640,343066,24,19,2,1,92796,412939,No,Graduate,Married,Rejected
42,102069,530,289087,72,9,0,5,112080,936279,Yes,High School,Single,Rejected
64,112556,751,344347,24,24,1,1,37181,480422,Yes,Graduate,Single,Rejected
45,108444,641,353870,84,13,1,0,206677,332458,Yes,Graduate,Single,Rejected
47,91435,752,263041,60,29,3,0,34192,477056,No,High School,Married,Rejected
62,119142,556,80497,36,25,4,0,107459,426459,No,Graduate,Single,Rejected
48,124448,733,221247,12,16,5,3,95553,346625,Yes,Postgraduate,Single,Rejected
36,29888,508,40362,36,9,4,1,108928,489493,No,Graduate,Married,Rejected
35,65299,500,260890,48,28,3,0,193646,261398,Yes,Graduate,Married,Rejected
64,144790,436,153688,24,23,2,2,173597,746928,Yes,Graduate,Married,Rejected
23,78765,693,9967,84,10,0,0,83807,993448,No,Graduate,Married,Approved
57,82714,335,46534,12,16,4,0,180256,606636,No,Graduate,Married,Rejected
27,147854,514,21465,24,10,2,3,194078,292340,No,Graduate,Married,Rejected
41,35935,326,455822,48,14,1,5,72189,731558,No,Postgraduate,Single,Rejected
29,93002,317,393862,72,3,2,4,203749,440892,No,Graduate,Single,Rejected
59,100631,436,392994,60,24,3,1,215332,945074,No,Graduate,Married,Rejected
38,96729,329,380846,12,3,0,5,71048,303836,No,Postgraduate,Single,Rejected
24,21320,372,373925,84,20,5,0,264267,296599,No,High School,Married,Rejected
45,66032,422,127902,12,14,4,3,71309,172182,Yes,Graduate,Married,Rejected
34,97763,527,393691,12,30,3,4,110806,721059,No,High School,Married,Rejected
29,37907,637,82718,60,13,1,4,113275,833328,No,Graduate,Single,Rejected
46,58002,572,24929,24,28,1,4,27413,570235,No,High School,Married,Rejected
22,64838,736,117623,60,30,5,0,85702,364935,No,Graduate,Married,Rejected
40,58912,338,289974,72,8,0,5,130836,502194,No,Graduate,Single,Rejected
48,20552,725,222293,24,15,5,0,92564,423802,Yes,Graduate,Single,Rejected
27,40140,614,448823,72,23,5,3,277949,379180,No,Graduate,Single,Rejected
64,105591,808,21478,12,0,5,1,98895,9728,No,Graduate,Married,Approved
28,135169,456,122210,60,2,4,3,89185,834562,Yes,High School,Married,Rejected
55,68737,556,70086,72,3,1,4,156290,270641,No,Graduate,Single,Rejected
