Area_sqft,Bedrooms,Bathrooms,Age_years,Garage,Distance_km,Price_USD
1527,2,5,15,2,12.3,358588.0
1886,3,4,17,0,27.2,378353.0
1160,4,2,39,0,8.4,234319.0
2006,4,3,0,0,14.9,451322.0
1393,3,3,34,1,9.3,297069.0
1450,3,2,28,0,21.9,261894.0
729,2,1,36,1,4.1,153145.0
2004,2,4,1,2,10.1,446267.0
1540,3,5,34,2,14.6,324478.0
3343,4,5,1,1,17.6,695857.0
2651,6,5,38,1,17.5,559885.0
3429,4,2,2,1,14.2,691251.0
604,6,4,37,0,13.2,189210.0
3848,1,3,32,1,20.4,693700.0
769,1,3,27,0,20.5,126249.0
3418,5,5,12,2,10.7,723006.0
1775,5,2,24,1,7.4,407294.0
1257,6,3,19,0,15.0,312611.0
1697,5,2,22,1,17.1,351856.0
3685,2,5,11,2,28.2,720236.0
2757,1,3,6,3,18.2,559366.0
2161,2,3,2,0,11.3,473868.0
2272,6,4,11,1,1.6,537845.0
616,5,5,0,2,29.9,209504.0
1251,3,3,36,1,1.0,284194.0
1493,4,5,39,2,13.4,324722.0
2973,4,4,29,2,12.1,593901.0
3011,1,3,10,1,14.0,584762.0
1101,3,3,32,1,10.6,230004.0
1847,6,3,27,2,10.6,418585.0
721,3,3,24,1,8.8,194808.0
1906,6,5,2,2,27.0,449966.0
2334,5,3,34,1,10.3,475996.0
3391,1,1,13,2,28.9,607113.0
3233,5,4,6,3,23.1,667221.0
2509,3,3,5,0,9.5,543960.0
2338,3,5,35,3,29.6,446096.0
3966,1,3,31,2,3.8,766272.0
2300,1,5,6,1,16.3,478164.0
2160,3,1,29,2,14.5,427348.0
3129,5,1,30,3,7.0,637966.0
1650,2,3,23,3,8.9,344759.0
1666,6,3,8,1,7.0,436607.0
2246,5,4,7,3,20.7,504120.0
3628,2,4,19,3,13.8,703236.0
2749,3,5,18,1,13.4,580547.0
2581,1,1,6,3,14.6,509054.0
3837,3,3,38,2,1.5,764448.0
750,5,3,14,1,3.8,243766.0
3600,6,5,26,3,19.4,735467.0
1863,3,2,10,3,14.2,409907.0
1105,6,1,25,1,8.5,272192.0
1438,3,4,1,3,13.4,348914.0
805,5,1,11,0,28.9,177105.0
609,2,3,3,1,21.5,153523.0
2194,2,1,16,3,3.0,463319.0
3276,2,4,17,2,12.0,662536.0
1520,5,2,12,3,23.4,350684.0
3694,1,5,15,3,16.3,720773.0
3932,1,2,17,1,28.9,690037.0
3538,6,1,20,3,17.4,704047.0
1708,4,2,4,2,20.6,367306.0
2301,2,2,9,1,2.4,479442.0
2139,6,3,26,0,24.9,429386.0
1452,1,5,13,0,4.3,349185.0
3219,1,5,5,1,19.9,629194.0
3607,2,4,28,1,16.8,675248.0
1669,6,4,7,1,19.9,418843.0
1018,2,1,35,1,28.7,144769.0
3980,5,3,7,0,20.3,787563.0
2803,5,5,15,2,25.4,586783.0
2068,2,1,16,0,20.0,387056.0
1578,5,4,21,3,10.2,383406.0
1541,5,4,14,2,2.6,391778.0
1506,4,2,24,2,17.6,333764.0
727,1,4,2,1,26.7,166015.0
1631,1,2,33,2,1.9,340914.0
2690,6,2,6,3,14.1,600420.0
3226,4,1,26,3,27.6,601713.0
1185,3,2,8,3,6.3,294074.0
3673,4,5,29,3,5.8,767933.0
3339,1,2,8,2,1.1,686963.0
3640,5,1,23,1,7.6,713622.0
1618,4,2,4,0,28.2,349103.0
2617,3,2,33,3,20.8,485003.0
3476,3,4,0,2,18.6,714004.0
2399,3,4,22,3,4.3,530678.0
824,4,1,7,2,20.4,213219.0
2812,5,3,10,2,24.7,587963.0
2631,1,4,22,2,26.6,487226.0
3778,2,5,7,2,24.3,750993.0
2930,3,1,35,2,26.6,530089.0
3025,2,5,30,1,28.9,540034.0
3907,4,3,9,2,16.5,785958.0
940,2,1,8,2,17.0,206863.0
3962,1,1,33,0,19.3,686686.0
610,2,4,16,2,2.0,196369.0
1730,2,4,0,0,12.2,379053.0
3881,3,1,18,3,20.8,722358.0
1644,6,5,40,1,22.1,349382.0
712,5,4,16,1,11.1,227779.0
748,5,5,26,0,23.2,190280.0
3584,2,1,18,0,14.9,658163.0
806,6,2,22,2,15.0,215763.0
2616,3,5,2,3,8.3,580618.0
664,4,5,17,0,11.9,194805.0
856,5,2,28,1,8.1,228590.0
1387,1,2,14,2,29.3,263692.0
1494,1,4,0,0,21.5,301926.0
1651,2,5,15,1,27.3,326522.0
3542,4,5,32,1,1.9,731048.0
2916,4,2,16,3,24.0,565801.0
2372,4,2,25,0,25.3,445571.0
2747,6,1,1,3,24.2,574987.0
1324,2,4,6,2,10.8,313889.0
3758,1,1,35,3,21.4,646981.0
1595,3,3,14,2,16.7,342342.0
3835,5,1,40,1,6.0,734088.0
2550,4,5,6,2,5.4,588890.0
3967,3,3,33,0,24.6,723058.0
3520,6,5,38,0,24.5,689207.0
3238,1,1,37,2,11.3,571346.0
2703,2,2,6,0,6.5,540940.0
1220,6,4,11,3,2.9,357909.0
2989,3,2,20,1,13.4,597321.0
2018,2,1,1,0,4.6,418847.0
3101,5,3,40,3,16.8,614940.0
1886,6,2,24,2,12.7,429965.0
2199,5,1,36,3,2.3,458006.0
1058,1,1,4,1,29.7,184156.0
1073,5,2,12,0,4.1,277205.0
2392,3,3,3,2,17.0,500619.0
1060,6,5,11,1,7.4,312024.0
2756,1,5,16,2,19.7,552295.0
1583,6,3,38,1,15.0,338617.0
2740,5,2,25,3,24.7,551062.0
3438,3,5,24,1,20.0,661003.0
653,4,1,22,1,29.2,143596.0
3353,6,3,8,2,24.5,705443.0
2871,3,1,25,0,18.0,545305.0
3284,4,4,31,1,20.8,619586.0
3535,6,5,28,3,18.3,723387.0
621,4,2,16,3,19.8,182911.0
2841,4,2,27,0,12.9,557590.0
3236,6,5,24,2,28.0,671763.0
1589,1,3,21,1,10.8,324997.0
2642,1,2,5,0,3.4,531355.0
3251,2,1,34,2,29.2,570581.0
1353,2,5,18,2,10.5,329652.0
1127,4,3,21,2,3.5,295157.0
1578,6,4,28,3,10.7,390185.0
1313,3,4,25,2,22.7,275052.0
1841,5,4,23,0,1.5,428302.0
1386,3,1,31,3,6.1,298460.0
1932,2,1,17,0,0.8,410111.0
772,4,4,32,1,23.4,176884.0
1910,6,3,14,3,8.3,471296.0
1221,6,1,39,3,26.9,259643.0
2037,6,2,1,3,12.3,504521.0
3569,5,1,38,0,9.9,685891.0
695,5,4,9,1,17.1,210650.0
2356,5,2,15,0,15.5,485348.0
2851,5,2,28,2,29.9,552873.0
1974,4,1,39,1,21.5,347311.0
3005,4,1,25,2,28.8,551193.0
666,5,4,27,0,16.8,193240.0
1301,1,3,27,2,13.7,251566.0
3943,6,2,40,1,23.3,748193.0
2921,2,4,11,2,14.2,593821.0
2427,3,3,40,1,22.9,449889.0
2763,1,4,11,2,12.9,570687.0
2617,5,3,32,3,25.2,523505.0
2284,2,3,19,2,29.8,416128.0
1871,1,1,29,2,13.9,340694.0
2257,6,3,4,2,25.9,505949.0
1496,2,1,39,3,6.0,304240.0
3319,2,3,14,0,19.3,618326.0
613,2,3,34,1,3.3,160918.0
2964,1,5,2,3,27.5,583247.0
1612,2,3,1,3,18.4,356655.0
1412,2,5,15,3,7.3,334915.0
3780,3,2,2,1,28.1,736878.0
3954,2,5,28,1,20.8,741153.0
3500,6,2,40,2,26.0,654141.0
2026,1,1,28,3,24.4,357332.0
3672,5,5,34,3,26.7,711525.0
2482,5,4,31,0,1.5,538869.0
1453,6,5,40,0,18.2,320863.0
